Position,Game Name,Category,Developer,Rating
1,Offline Games - No Wifi Games,Top Free Games,IndioBlu,4.5
2,Subway Surfers,Top Free Games,SYBO Games,4.4
3,Pizza Ready!,Top Free Games,"Supercent, Inc.",4.6
4,PUBG MOBILE,Top Free Games,Level Infinite,4.3
5,Ludo Club - Dice & Board Game,Top Free Games,Moonfrog,4.2
6,Knife Hit,Top Free Games,Ketchapp,4.1
7,Sporcle Party: Social Trivia,Top Free Games,"Sporcle, Inc.",4.6
8,TopTop: Games&Chat,Top Free Games,TopGame,4.4
9,Free Fire: 7th Anniversary,Top Free Games,Garena International,4.3
10,Makeup Show: Makeover Salon,Top Free Games,TagMaker,4.4
11,Traffic Rider,Top Free Games,Soner Kara,4.4
1,Minecraft,Top Paid Games,Mojang,4.6
2,Grand Theft Auto: San Andreas,Top Paid Games,Rockstar Games,4.5
3,Geometry Dash,Top Paid Games,RobTop Games,4.8
4,RFS - Real Flight Simulator,Top Paid Games,RORTOS,4.6
5,Suika Game,Top Paid Games,Aladdin X Inc.,4.3
6,Stardew Valley,Top Paid Games,ConcernedApe,4.7
7,Bloons TD 6,Top Paid Games,ninja kiwi,4.8
8,Shadow Knight: Ninja Fighting,Top Paid Games,Fansipan Limited,4.4
9,Kingdom Rush 5: Alliance TD,Top Paid Games,Ironhide Studio,4.5
10,Terraria,Top Paid Games,505 Games,4.4
11,Five Nights at Freddy’s,Top Paid Games,Clickteam USA,4.3
1,League of Legends: Wild Rift,Top Grossing Games,Riot Games,3.2
2,Hearthstone,Top Grossing Games,"Blizzard Entertainment, Inc.",4.3
3,PUBG MOBILE,Top Grossing Games,Level Infinite,4.3
4,Coin Master,Top Grossing Games,Moon Active,4.6
5,8 Ball Pool,Top Grossing Games,Miniclip.com,4.5
6,Roblox,Top Grossing Games,Roblox Corporation,4.5
7,Candy Crush Saga,Top Grossing Games,King,4.7
8,RiichiCity - ACG mahjong game,Top Grossing Games,Formica Club,4.4
9,Texas Hold’em Poker: Pokerist,Top Grossing Games,KamaGames,4.6
10,eFootball™ 2024,Top Grossing Games,KONAMI,4.4
11,Royal Match,Top Grossing Games,"Dream Games, Ltd.",4.7
