Position,Game Name,Category,Developer,Rating
1,TopTop Lite,Top Free Games,MICO WORLD,3.9
2,Jackaroo,Top Free Games,Chick Mania Entertainment Co,3.6
3,Sawa Ludo,Top Free Games,Alef Innovation Network FZ LLC,3.3
4,Last War: Survival,Top Free Games,FirstFun,4.7
5,Whiteout Survival,Top Free Games,Century Games Pte. Ltd.,4.7
6,Jackaroo,Top Free Games,Khaled Jamal Amnajjar,3.7
7,Jawaker: Games & Friends,Top Free Games,Jawaker,4.5
8,Roblox,Top Free Games,Roblox Corporation,4.5
9,Subway Surfers,Top Free Games,Sybo Games ApS,4.5
10,Supermarket Master 3D,Top Free Games,Playspare,4.9
11,جواكر جو,Top Free Games,Jawaker,4.2
1,Minecraft,Top Paid Games,Mojang,4.5
2,اللعبة النصر العالمي,Top Paid Games,MARIYAH ALHARBI,4.4
3,The Secret Elevator Remastered,Top Paid Games,Danil Malinov,4.0
4,RFS - Real Flight Simulator,Top Paid Games,RORTOS SRL,4.6
5,Escaping the Island,Top Paid Games,Dmitriy Staryomov,5.0
6,Pou,Top Paid Games,Zakeh Limited,4.1
7,Earn to Die 2,Top Paid Games,Not Doppler,4.7
8,Bully: Anniversary Edition,Top Paid Games,Rockstar Games,4.6
9,Stardew Valley,Top Paid Games,ConcernedApe,4.9
10,Evoland,Top Paid Games,Playdigious,4.4
11,Five Nights at Freddy's,Top Paid Games,Clickteam USA LLC,4.6
1,Whiteout Survival,Top Grossing Games,Century Games Pte. Ltd.,4.7
2,Last War: Survival,Top Grossing Games,FirstFun,4.7
3,PUBG MOBILE,Top Grossing Games,Tencent Mobile International Limited,4.3
4,Royal Match,Top Grossing Games,Dream Games,4.7
5,Yalla Ludo,Top Grossing Games,Aviva Sun,4.4
6,Roblox,Top Grossing Games,Roblox Corporation,4.5
7,Ludo STAR,Top Grossing Games,Gameberry Labs,4.4
8,تيوي الترفيهية,Top Grossing Games,Teewhy,3.9
9,كملنا,Top Grossing Games,Reel Information Technology Co.,4.6
10,Call of Duty®: Mobile,Top Grossing Games,"Activision Publishing, Inc.",4.6
11,TopTop Lite,Top Grossing Games,MICO WORLD,3.9
