Position,Game Name,Category,Developer,Rating
1,Whiteout Survival,Top Free Games,Century Games Pte. Ltd.,4.7
2,Last War: Survival Game,Top Free Games,FirstFun,4.4
3,Subway Surfers,Top Free Games,SYBO Games,4.1
4,Offline Games - No Wifi Ga.,Top Free Games,IndoDill,4.5
5,Roblox,Top Free Games,Roblox Corporation,4.2
6,Carrom Pool: Disc Game,Top Free Games,Miniclip.com,4.5
7,Annoying Puzzle Game,Top Free Games,GPALY JSC,4.5
8,Free Fire: 7th Anniversary,Top Free Games,Garena International,4.2
9,Mini Relaxing Game- pop it,Top Free Games,stick hunter,4.6
10,PUBG MOBILE,Top Free Games,Tencent Games,4.5
11,TopTop KSA,Top Free Games,Social Game Lab,4.4
1,Minecraft,Top Paid Games,Mojang,4.4
2,Grand Theft Auto: San Andr.,Top Paid Games,Rockstar Games,4.7
3,Poppy Playtime Chapter 1,Top Paid Games,Mob Entertainment,4.6
4,RFS - Real Flight Simulator,Top Paid Games,RORTOS,4.2
5,Geometry Dash,Top Paid Games,RobTop Games,4.9
6,الملغرام النس,Top Paid Games,Alharbi Studio,4.3
7,Poppy Playtime chapter 2,Top Paid Games,Mob Entertainment,4.6
8,Driving Zone: Germany Pro,Top Paid Games,Ave Creation,4.2
9,Shadow Knight: Ninja Fighting,Top Paid Games,Fansipan Limited,4.7
10,Driving Zone: Offroad,Top Paid Games,Ave Creation,4.6
1,PUBG MOBILE,Top Grossing Games,Tencent Games,4.4
2,Last War: Survival Game,Top Grossing Games,FirstFun,4.3
3,Yalla Ludo - Ludo&Domino,Top Grossing Games,Aviva Sun,4.5
4,Whiteout Survival,Top Grossing Games,Century Games Pte. Ltd.,4.6
5,Roblox,Top Grossing Games,Roblox Corporation,4.5
6,TopTop: Gamesachat,Top Grossing Games,Social Game Lab,4.5
7,Free Fire: 7th Anniversary,Top Grossing Games,Garena International,4.5
8,Royal Match,Top Grossing Games,Dream Games,4.5
9,Ludo STAR: Online Dice Game,Top Grossing Games,Gameberry Labs,4.6
10,Call of Duty: Mobile Season 7,Top Grossing Games,Activision Publishing Inc.,4.3
11,Top War: Battle Game,Top Grossing Games,Topwar Studio,4.5
