Position,Game Name,Category,Developer,Rating
1,Last War: Survival,Top Free Games,FirstFun,4.7
2,Twerk Race 3D,Top Free Games,Freeplay LLC,4.6
3,Roblox,Top Free Games,Roblox Corporation,4.5
4,Whiteout Survival,Top Free Games,Century Games Pte. Ltd.,4.7
5,Subway Surfers,Top Free Games,Sybo Games ApS,4.6
6,PUBG MOBILE,Top Free Games,Tencent Mobile International Limited,4.3
7,My Superstore Simulator,Top Free Games,Playspare,4.8
8,Block Blast!,Top Free Games,Hungry Studio,4.5
9,Pizza Ready!,Top Free Games,Supercent,4.7
10,Supermarket Master 3D,Top Free Games,Playspare,4.9
1,Minecraft,Top Paid Games,Mojang,4.5
2,Earn to Die 2,Top Paid Games,Not Doppler,4.7
3,RFS - Real Flight Simulator,Top Paid Games,RORTOS SRL,4.6
4,Evoland,Top Paid Games,Playdigious,4.2
5,MONOPOLY: The Board Game,Top Paid Games,Marmalade Game Studio,4.7
6,Geometry Dash,Top Paid Games,RobTop Games AB,4.8
7,"Papers, Please",Top Paid Games,3909,4.9
8,Plague Inc.,Top Paid Games,Ndemic Creations,4.8
9,Aerofly FS Global,Top Paid Games,IPACS,4.3
10,Incredibox,Top Paid Games,So Far So Good,4.9
1,Last War: Survival,Top Grossing Games,FirstFun,4.7
2,Whiteout Survival,Top Grossing Games,Century Games Pte. Ltd.,4.7
3,PUBG MOBILE,Top Grossing Games,Tencent Mobile International Limited,4.3
4,Roblox,Top Grossing Games,Roblox Corporation,4.5
5,Royal Match,Top Grossing Games,Dream Games,4.7
6,Yalla Ludo,Top Grossing Games,Yalla Technology FZ-LLC,4.4
7,Ludo STAR,Top Grossing Games,Gameberry Labs,4.4
8,Texas Hold’em Poker: Pokerist,Top Grossing Games,KamaGames,4.6
9,Candy Crush Saga,Top Grossing Games,King,4.7
10,Call of Duty®: Mobile,Top Grossing Games,"Activision Publishing, Inc.",4.6
