Category,Game Name,Rating,Position
Free,Roblox,4.4,1
Free,Free Fire: 7th Anniversary,4.2,2
Free,Subway Surfers,4.6,3
Free,Pokémon GO,3.9,4
Free,Among Us,3.8,5
Free,Call of Duty: Mobile Season 7,4.3,6
Free,Geometry Dash Lite,4.3,7
Free,Dice Dreams™️,4.7,8
Free,Magic Tiles 3,4.1,9
Free,8 Ball Pool,4.6,10
Free,Royal Match,4.6,11
Free,Stumble Guys,4.3,12
Free,PUBG MOBILE,4.3,13
Free,Candy Crush Saga,4.6,14
Free,Brawl Stars,4.3,15
Free,EA SPORTS FC™ Mobile Soccer,4.2,16
Free,Hexa Sort,4.5,17
Free,My Talking Tom Friends,4.3,18
Free,Happy Color®: Coloring Book,4.6,19
Free,Mob Control,4.2,20
Paid,Roblox,4.4,1
Paid,Free Fire: 7th Anniversary,4.2,2
Paid,Subway Surfers,4.6,3
Paid,Pokémon GO,3.9,4
Paid,Among Us,3.8,5
Paid,Call of Duty: Mobile Season 7,4.3,6
Paid,Geometry Dash Lite,4.3,7
Paid,Dice Dreams™️,4.7,8
Paid,Magic Tiles 3,4.1,9
Paid,8 Ball Pool,4.6,10
Paid,Royal Match,4.6,11
Paid,Stumble Guys,4.3,12
Paid,PUBG MOBILE,4.3,13
Paid,Candy Crush Saga,4.6,14
Paid,Brawl Stars,4.3,15
Paid,EA SPORTS FC™ Mobile Soccer,4.2,16
Paid,Hexa Sort,4.5,17
Paid,My Talking Tom Friends,4.3,18
Paid,Happy Color®: Coloring Book,4.6,19
Paid,Mob Control,4.2,20
Top Grossing,Roblox,4.4,1
Top Grossing,Free Fire: 7th Anniversary,4.2,2
Top Grossing,Subway Surfers,4.6,3
Top Grossing,Pokémon GO,3.9,4
Top Grossing,Among Us,3.8,5
Top Grossing,Call of Duty: Mobile Season 7,4.3,6
Top Grossing,Geometry Dash Lite,4.3,7
Top Grossing,Dice Dreams™️,4.7,8
Top Grossing,Magic Tiles 3,4.1,9
Top Grossing,8 Ball Pool,4.6,10
Top Grossing,Royal Match,4.6,11
Top Grossing,Stumble Guys,4.3,12
Top Grossing,PUBG MOBILE,4.3,13
Top Grossing,Candy Crush Saga,4.6,14
Top Grossing,Brawl Stars,4.3,15
Top Grossing,EA SPORTS FC™ Mobile Soccer,4.2,16
Top Grossing,Hexa Sort,4.5,17
Top Grossing,My Talking Tom Friends,4.3,18
Top Grossing,Happy Color®: Coloring Book,4.6,19
Top Grossing,Mob Control,4.2,20
